timestamp, frame, x, y, z, qx, qy, qz, qw
465187.85597, 000102, -3.6947572, 0.8107086, -1.3060116, 0.3361507, 0.1043513, -0.93531984, 0.0359217
465187.889317208, 000103, -3.7068806, 0.8103815, -1.2974582, 0.3285281, 0.10551132, -0.93792284, 0.03517521
465187.922664166, 000104, -3.719066, 0.80968916, -1.2892362, 0.32070032, 0.107952535, -0.94033295, 0.03565695
465187.956011333, 000105, -3.7310646, 0.808806, -1.2812684, 0.31297985, 0.11007797, -0.9426448, 0.036706127
465187.989358375, 000106, -3.743488, 0.80775356, -1.2729065, 0.3066753, 0.11178474, -0.9444974, 0.03713529
465188.022705541, 000107, -3.7551641, 0.8065748, -1.2646015, 0.3018881, 0.1131043, -0.9458925, 0.03685453
465188.056052541, 000108, -3.766395, 0.8052719, -1.2562493, 0.2972007, 0.11408867, -0.9472704, 0.036527257
465188.089399666, 000109, -3.7801263, 0.80406445, -1.2477431, 0.29195577, 0.116043486, -0.94866943, 0.036357775
465188.122746833, 000110, -3.7917478, 0.80242074, -1.2390511, 0.28638396, 0.11855112, -0.9500485, 0.03657395
465188.156093833, 000111, -3.8026323, 0.80075467, -1.2301397, 0.28115386, 0.12021212, -0.95137274, 0.037301674
465188.189441041, 000112, -3.8158553, 0.7989881, -1.220425, 0.27686334, 0.12187835, -0.95239115, 0.03799261
465188.222788041, 000113, -3.827284, 0.79745907, -1.2108212, 0.27241, 0.12424185, -0.95333356, 0.03888087
465188.256135083, 000114, -3.8378894, 0.79607934, -1.2010676, 0.2681203, 0.1262115, -0.9542514, 0.03982898
465188.28948225, 000115, -3.8497856, 0.79539347, -1.1911595, 0.26462725, 0.12684703, -0.95512253, 0.040288206
465188.32282925, 000116, -3.860352, 0.7947658, -1.1812558, 0.259677, 0.12648886, -0.9565114, 0.040674634
465188.356176416, 000117, -3.8703628, 0.7940802, -1.1712574, 0.2538963, 0.1266165, -0.95805806, 0.04036868
465188.389523541, 000118, -3.882704, 0.7940195, -1.1604098, 0.24912359, 0.12522872, -0.95954406, 0.039119124
465188.422870583, 000119, -3.8932009, 0.7937274, -1.1497368, 0.2450586, 0.123587646, -0.96085984, 0.03769229
465188.45621775, 000120, -3.9029098, 0.79351836, -1.1392606, 0.24121055, 0.122672744, -0.9619904, 0.03665145
465188.489564833, 000121, -3.9141114, 0.79375005, -1.1291937, 0.23821668, 0.12074161, -0.96302086, 0.035567053
465188.522911875, 000122, -3.9238684, 0.7944045, -1.1197048, 0.23545657, 0.118946224, -0.96398395, 0.033866227
465188.556259, 000123, -3.9330213, 0.79522467, -1.1107713, 0.23116858, 0.11893821, -0.9650985, 0.03161643
465188.589606083, 000124, -3.9432585, 0.79685783, -1.1014895, 0.22537753, 0.118775226, -0.96655667, 0.029421635
465188.622953166, 000125, -3.9520106, 0.79824156, -1.0934051, 0.21986966, 0.11793462, -0.9680161, 0.026336117
465188.656300208, 000126, -3.9600883, 0.7996635, -1.0859467, 0.21546464, 0.1163703, -0.969261, 0.023792125
465188.689647333, 000127, -3.9684722, 0.80059624, -1.0789903, 0.21288009, 0.11524292, -0.969995, 0.022599898
465188.722994458, 000128, -3.9760725, 0.80150306, -1.0718758, 0.21094692, 0.11455248, -0.970501, 0.022513753
465188.756341541, 000129, -3.983233, 0.80217934, -1.064943, 0.20761088, 0.11461656, -0.97119045, 0.023448372
